GgG	15955
ttt	15895
TtT	15894
TnT	15864
NNN	15863
TTT	15844
gtg	15770
ntn	15746
LGL	15735
nLn	15732
LnL	15728
lNl	15725
tGt	15722
nnn	15714
tgt	15698
GLG	15693
tnt	15689
LNL	15686
nNn	15677
TNT	15674
NlN	15672
GTG	15664
GNG	15653
LTL	15651
lll	15651
TLT	15651
LtL	15647
lTl	15645
gng	15631
NGN	15627
gNg	15627
GGG	15610
NLN	15608
nGn	15606
NgN	15604
LgL	15601
lnl	15598
ngn	15597
LLL	15592
gTg	15582
nln	15581
GtG	15575
tTt	15573
NtN	15572
TgT	15569
ggg	15563
TGT	15561
GlG	15559
tLt	15545
glg	15536
TlT	15535
tlt	15530
gLg	15527
nTn	15514
lgl	15510
tNt	15510
gGg	15506
NnN	15457
lLl	15453
ltl	15443
LlL	15432
lGl	15389
GnG	15373
NTN	15366
